,Date,Change,Price
525,6/16/88,-5.1%,0.5705702006799016
526,6/17/88,1.0%,0.5762759026867006
527,6/20/88,-2.0%,0.5647503846329666
528,6/21/88,3.0%,0.5816928961719556
529,6/22/88,4.4%,0.6072873836035217
530,6/23/88,-0.9%,0.6018217971510901
531,6/24/88,-1.0%,0.5958035791795792
532,6/27/88,-5.3%,0.5642259894830615
533,6/28/88,3.7%,0.5851023510939347
534,6/29/88,-1.5%,0.5763258158275257
535,6/30/88,2.7%,0.5918866128548689
536,7/1/88,-1.9%,0.5806407672106264
537,7/5/88,4.5%,0.6067696017351045
538,7/6/88,-4.3%,0.580678508860495
539,7/7/88,-0.2%,0.579517151842774
540,7/8/88,-2.0%,0.5679268088059185
541,7/11/88,0.5%,0.570766442849948
542,7/12/88,-3.1%,0.5530726831215996
543,7/13/88,1.5%,0.5613687733684236
544,7/14/88,1.1%,0.5675438298754762
545,7/15/88,2.0%,0.5788947064729858
546,7/18/88,-1.8%,0.568474601756472
547,7/19/88,-2.3%,0.5553996859160731
548,7/20/88,1.6%,0.5642860808907303
549,7/21/88,-3.7%,0.5434074958977733
550,7/22/88,-3.7%,0.5233014185495556
551,7/25/88,1.2%,0.5295810355721503
552,7/26/88,0.7%,0.5332881028211554
553,7/27/88,-3.1%,0.5167561716336995
554,7/28/88,4.0%,0.5374264184990475
555,7/29/88,6.8%,0.5739714149569828
556,8/1/88,0.1%,0.5745453863719397
557,8/2/88,0.0%,0.5745453863719397
558,8/3/88,1.1%,0.580865385622031
559,8/4/88,-1.0%,0.5750567317658107
560,8/5/88,-0.9%,0.5698812211799185
561,8/8/88,-1.3%,0.5624727653045796
562,8/9/88,-3.7%,0.5416612729883101
563,8/10/88,-5.2%,0.513494886792918
564,8/11/88,1.0%,0.5186298356608472
565,8/12/88,-0.3%,0.5170739461538647
566,8/15/88,-4.4%,0.4943226925230947
567,8/16/88,2.2%,0.5051977917586028
568,8/17/88,0.2%,0.50620818734212
569,8/18/88,0.3%,0.5077268119041464
570,8/19/88,-1.0%,0.5026495437851048
571,8/22/88,-3.8%,0.4835488611212709
572,8/23/88,0.2%,0.4845159588435134
573,8/24/88,4.6%,0.506803692950315
574,8/25/88,-2.2%,0.49565401170540807
575,8/26/88,0.5%,0.49813228176393504
576,8/29/88,3.1%,0.513574382498617
577,8/30/88,0.2%,0.5146015312636142
578,8/31/88,-1.2%,0.5084263128884509
579,9/1/88,-3.6%,0.4901229656244666
580,9/2/88,7.2%,0.5254118191494282
581,9/6/88,1.1%,0.5311913491600719
582,9/7/88,0.2%,0.5322537318583921
583,9/8/88,0.1%,0.5327859855902504
584,9/9/88,1.1%,0.5386466314317431
585,9/12/88,-0.6%,0.5354147516431527
586,9/13/88,1.1%,0.5413043139112272
587,9/14/88,2.1%,0.552671704503363
588,9/15/88,-1.4%,0.5449343006403159
589,9/16/88,2.7%,0.5596475267576044
590,9/19/88,-2.0%,0.5484545762224523
591,9/20/88,1.1%,0.5544875765608992
592,9/21/88,0.5%,0.5572600144437037
593,9/22/88,-1.2%,0.5505728942703793
594,9/23/88,0.6%,0.5538763316360016
595,9/26/88,-0.9%,0.5488914446512776
596,9/27/88,-0.7%,0.5450492045387186
597,9/28/88,2.0%,0.555950188629493
598,9/29/88,2.9%,0.5720727440997482
599,9/30/88,-0.8%,0.5674961621469502
600,10/3/88,-0.6%,0.5640911851740685
601,10/4/88,-0.8%,0.559578455692676
602,10/5/88,1.3%,0.5668529756166807
603,10/6/88,0.5%,0.569687240494764
604,10/7/88,6.3%,0.6055775366459342
605,10/10/88,0.1%,0.6061831141825801
606,10/11/88,-0.5%,0.6031521986116671
607,10/12/88,-4.2%,0.5778198062699771
608,10/13/88,1.3%,0.5853314637514867
609,10/14/88,0.3%,0.5870874581427411
610,10/17/88,0.8%,0.5917841578078831
611,10/18/88,3.2%,0.6107212508577353
612,10/19/88,-2.6%,0.5948424983354342
613,10/20/88,6.3%,0.6323175757305666
614,10/21/88,0.8%,0.6373761163364111
615,10/24/88,-1.5%,0.6278154745913649
616,10/25/88,0.1%,0.6284432900659562
617,10/26/88,-1.0%,0.6221588571652966
618,10/27/88,-4.4%,0.5947838674500235
619,10/28/88,1.3%,0.6025160577268738
620,10/31/88,0.4%,0.6049261219577813
621,11/1/88,0.2%,0.6061359742016968
622,11/2/88,0.1%,0.6067421101758985
623,11/3/88,0.1%,0.6073488522860744
624,11/4/88,-2.9%,0.5897357355697782
625,11/7/88,-2.5%,0.5749923421805337
