Date,Price,High,Low,Close,Adj Close,Volume
2021-09-23,61.369999,63.470001,61.279999,62.759998,62.725094,9306400
2021-09-24,62.02,63.375,61.919998,63.075001,63.039921,6932000
2021-09-27,62.580002,63.105,62.185001,62.535,62.500221,7759200
2021-09-28,61.23,61.389999,58.395,58.759998,58.727318,17454600
2021-09-29,59.299999,60.055,58.764999,58.994999,58.962189,12056200
2021-09-30,59.625,59.935001,56.755001,56.855,56.82338,18906600
2021-10-01,57.57,59.57,56.09,58.880001,58.847252,20352000
2021-10-04,58.360001,58.73,55.650002,56.580002,56.548534,16350600
2021-10-05,57.209999,59.27,56.869999,58.299999,58.267574,11374800
2021-10-06,56.775002,59.139999,56.075001,59.060001,59.027153,14926000
2021-10-07,60.48,61.805,60.389999,60.560001,60.526321,11065000
2021-10-08,60.935001,61.080002,59.965,60.209999,60.176514,9985200
2021-10-11,59.950001,61.224998,58.904999,58.93,58.897224,9545000
2021-10-12,59.334999,59.5,58.16,58.52,58.487453,10140600
2021-10-13,58.919998,59.485001,57.654999,59.099998,59.067127,9447800
2021-10-14,60.720001,62.16,60.509998,62.080002,62.045475,9437600
2021-10-15,63.075001,63.674999,62.759998,63.509998,63.474674,7802600
2021-10-18,62.674999,64.220001,62.389999,64.105003,64.069351,6398800
2021-10-19,64.805,65.580002,64.535004,65.565002,65.528534,6880800
2021-10-20,65.754997,66.464996,65.709999,66.300003,66.26313,7339400
2021-10-21,66.029999,66.93,65.834999,66.834999,66.797829,6530600
2021-10-22,66.629997,67.305,65.699997,66.610001,66.572952,9910600
2021-10-25,67.114998,67.834999,66.294998,67.620003,67.582397,6206400
2021-10-26,68.404999,68.989998,67.699997,67.879997,67.842247,8000000
2021-10-27,68.080002,68.379997,66.940002,66.955002,66.917763,6128200
2021-10-28,67.635002,68.919998,67.629997,68.864998,68.826698,8521200
2021-10-29,67.775002,69.440002,67.660004,69.305,69.266457,10592200
2021-11-01,69.785004,69.970001,68.839996,69.68,69.641243,9087200
2021-11-02,69.730003,70.650002,69.68,70.5,70.460793,8008600
2021-11-03,70.224998,72,70.019997,71.815002,71.775063,8535800
2021-11-04,72.089996,72.855003,71.919998,72.779999,72.739517,9553200
2021-11-05,73.925003,74.565002,72.824997,73.57,73.529083,9937800
2021-11-08,74.129997,74.364998,73.410004,73.775002,73.733971,7478600
2021-11-09,73.949997,74.050003,72.300003,73.014999,72.974388,9782600
2021-11-10,72.169998,73.004997,70.5,71.269997,71.230362,10143800
2021-11-11,71.959999,72,71.309998,71.349998,71.310318,5655000
2021-11-12,71.940002,73.195,71.470001,72.934998,72.894432,7729200
2021-11-15,73.574997,73.635002,72.43,72.964996,72.924416,6410200
2021-11-16,72.860001,74.419998,72.830002,73.839996,73.798927,7697400
2021-11-17,73.720001,73.809998,72.985001,73.279999,73.239243,7756000
